"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
36,"blue-collar","single","basic.6y","","yes","no","telephone","jul","mon",1877,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"yes"
30,"blue-collar","married","","","yes","yes","telephone","may","fri",129,2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
34,"blue-collar","married","basic.9y","no","no","no","cellular","may","mon",248,1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
36,"admin.","single","university.degree","no","no","no","cellular","may","mon",327,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.264,5099.1,"no"
36,"services","divorced","university.degree","no","no","no","cellular","may","fri",67,4,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
42,"blue-collar","married","basic.4y","","yes","no","telephone","may","thu",160,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
38,"technician","married","professional.course","","no","yes","cellular","aug","fri",498,6,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
33,"technician","divorced","professional.course","no","yes","no","cellular","aug","mon",413,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
52,"admin.","divorced","","no","no","no","cellular","aug","tue",228,5,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
52,"blue-collar","married","","no","no","yes","cellular","jul","mon",326,11,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
25,"admin.","single","university.degree","no","no","no","cellular","jul","fri",835,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
33,"blue-collar","single","basic.6y","","no","yes","cellular","jul","fri",184,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
50,"services","single","basic.6y","","no","no","cellular","apr","thu",169,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no"
30,"technician","single","university.degree","","yes","no","cellular","aug","wed",60,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
29,"admin.","married","university.degree","no","no","yes","telephone","jun","thu",105,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
56,"blue-collar","married","basic.4y","","yes","yes","telephone","may","fri",1252,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"yes"
41,"admin.","married","university.degree","no","yes","yes","telephone","jun","thu",142,4,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
33,"technician","divorced","professional.course","no","yes","yes","cellular","aug","mon",679,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
34,"admin.","married","university.degree","no","no","no","telephone","jun","wed",84,4,999,0,"nonexistent",-2.9,92.963,-40.8,1.244,5076.2,"no"
30,"student","single","university.degree","no","yes","no","cellular","may","mon",90,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
32,"admin.","single","university.degree","no","yes","no","cellular","nov","fri",718,1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
31,"management","single","university.degree","no","yes","no","cellular","may","thu",239,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
36,"blue-collar","married","basic.4y","no","no","no","telephone","jun","wed",357,4,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
24,"student","single","high.school","no","no","no","cellular","may","wed",389,1,7,2,"success",-1.8,93.876,-40,0.672,5008.7,"yes"
25,"admin.","married","high.school","no","yes","no","telephone","jun","wed",264,2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
36,"admin.","married","university.degree","no","yes","no","cellular","sep","fri",355,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.773,5017.5,"no"
56,"admin.","married","university.degree","no","no","no","cellular","nov","fri",808,2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"yes"
35,"services","married","professional.course","","no","no","telephone","jun","fri",103,1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
35,"blue-collar","married","professional.course","no","no","no","cellular","apr","fri",317,2,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
44,"blue-collar","married","basic.9y","no","no","no","cellular","may","fri",199,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
28,"entrepreneur","single","professional.course","no","yes","no","cellular","may","mon",240,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
47,"services","divorced","high.school","no","yes","no","cellular","may","mon",953,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
59,"admin.","divorced","professional.course","","yes","no","cellular","aug","wed",87,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
47,"","married","","","yes","no","telephone","may","mon",269,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
54,"retired","married","basic.9y","no","no","yes","telephone","may","mon",596,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
36,"admin.","married","university.degree","no","yes","no","cellular","sep","tue",127,1,999,2,"failure",-1.1,94.199,-37.5,0.881,4963.6,"no"
58,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",328,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
69,"housemaid","married","basic.4y","no","no","no","telephone","aug","mon",420,4,999,0,"nonexistent",-2.9,92.201,-31.4,0.843,5076.2,"no"
45,"management","married","university.degree","no","yes","yes","telephone","may","thu",807,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
39,"housemaid","single","university.degree","","no","no","telephone","jul","tue",39,9,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
39,"services","divorced","high.school","no","no","yes","cellular","jul","thu",187,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
37,"services","married","high.school","no","no","no","telephone","jun","tue",393,3,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
35,"admin.","single","high.school","no","yes","no","telephone","may","mon",319,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
19,"student","single","","no","yes","no","telephone","apr","fri",1161,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
50,"admin.","single","high.school","no","yes","no","telephone","dec","fri",705,2,999,0,"nonexistent",-3,92.713,-33,0.718,5023.5,"yes"
60,"technician","divorced","professional.course","","no","no","telephone","may","wed",390,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
35,"technician","single","professional.course","no","yes","no","cellular","aug","tue",300,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
40,"services","married","high.school","no","no","no","telephone","may","fri",307,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
32,"blue-collar","single","basic.4y","no","no","no","cellular","jul","mon",160,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
49,"technician","married","professional.course","no","yes","no","telephone","may","tue",447,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
37,"admin.","married","high.school","","yes","no","telephone","may","thu",37,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
49,"blue-collar","married","basic.6y","no","yes","no","cellular","aug","tue",232,4,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
48,"technician","divorced","high.school","no","yes","no","cellular","apr","thu",400,1,999,1,"failure",-1.8,93.075,-47.1,1.365,5099.1,"yes"
38,"admin.","married","university.degree","no","no","no","cellular","aug","thu",89,2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
34,"technician","single","university.degree","no","yes","no","cellular","mar","mon",253,2,999,1,"failure",-1.8,92.843,-50,1.52,5099.1,"no"
55,"technician","married","high.school","","yes","no","cellular","nov","wed",285,2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
46,"blue-collar","married","basic.9y","","no","no","telephone","may","mon",886,3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
45,"services","married","basic.9y","no","no","no","telephone","may","tue",427,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
30,"services","married","high.school","no","yes","no","cellular","may","wed",237,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
38,"admin.","married","university.degree","no","no","no","cellular","aug","tue",178,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
33,"admin.","married","university.degree","no","yes","no","telephone","may","wed",623,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
44,"admin.","divorced","professional.course","no","no","yes","telephone","may","wed",38,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
36,"blue-collar","married","basic.9y","no","yes","no","cellular","may","mon",156,1,999,1,"failure",-1.8,92.893,-46.2,1.244,5099.1,"no"
42,"admin.","single","university.degree","no","yes","no","telephone","jun","fri",520,3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
39,"blue-collar","married","basic.6y","no","yes","no","telephone","may","thu",338,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
51,"management","married","university.degree","no","yes","no","cellular","aug","thu",175,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
37,"services","married","high.school","no","no","yes","cellular","apr","fri",175,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
38,"admin.","married","university.degree","no","no","no","cellular","aug","fri",103,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
32,"technician","married","professional.course","no","no","no","cellular","aug","fri",128,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
53,"self-employed","divorced","basic.4y","no","no","no","cellular","may","mon",82,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
55,"blue-collar","married","basic.4y","no","yes","no","cellular","aug","mon",149,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
68,"retired","married","basic.4y","no","no","no","cellular","mar","thu",331,4,999,0,"nonexistent",-1.8,92.843,-50,1.538,5099.1,"yes"
37,"blue-collar","single","high.school","no","yes","no","telephone","jun","mon",95,3,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
39,"blue-collar","single","university.degree","no","no","no","cellular","may","wed",9,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
49,"unemployed","married","university.degree","no","yes","yes","telephone","may","thu",272,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
35,"admin.","single","university.degree","no","no","no","cellular","aug","thu",250,1,999,1,"failure",-2.9,92.201,-31.4,0.883,5076.2,"no"
28,"admin.","single","high.school","no","no","no","cellular","mar","fri",347,2,999,0,"nonexistent",-1.8,92.843,-50,1.531,5099.1,"yes"
36,"self-employed","single","university.degree","no","no","no","cellular","jul","wed",540,6,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes"
53,"blue-collar","married","high.school","no","yes","no","cellular","jul","mon",209,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
50,"retired","married","basic.4y","no","yes","no","cellular","jul","wed",128,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
51,"blue-collar","married","professional.course","no","no","yes","cellular","aug","thu",17,5,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
48,"retired","married","basic.9y","no","yes","no","telephone","may","wed",120,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
29,"admin.","married","university.degree","no","yes","yes","cellular","apr","mon",245,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
27,"management","single","university.degree","no","no","no","cellular","may","mon",52,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no"
45,"blue-collar","married","basic.4y","no","yes","yes","cellular","may","thu",8,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
30,"blue-collar","single","high.school","no","no","no","cellular","may","wed",22,1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
35,"technician","single","university.degree","no","yes","no","cellular","may","mon",271,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
33,"unemployed","married","university.degree","no","yes","no","cellular","aug","fri",59,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
24,"student","single","","no","yes","no","cellular","aug","fri",438,1,6,1,"success",-2.9,92.201,-31.4,0.849,5076.2,"yes"
48,"blue-collar","divorced","basic.4y","","yes","no","telephone","jun","thu",63,3,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
49,"management","married","university.degree","no","no","no","cellular","apr","thu",289,1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,"no"
30,"technician","single","high.school","no","yes","no","telephone","may","wed",83,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
36,"admin.","single","high.school","no","yes","yes","cellular","may","thu",277,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
43,"blue-collar","married","high.school","no","yes","no","cellular","may","fri",48,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
54,"blue-collar","single","","no","no","no","cellular","jul","mon",111,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
41,"management","married","high.school","no","no","no","telephone","may","thu",77,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
33,"admin.","divorced","basic.9y","no","no","no","telephone","may","fri",93,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
56,"management","married","basic.4y","","yes","no","cellular","jul","tue",673,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
52,"self-employed","single","basic.4y","","yes","no","telephone","may","thu",61,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
43,"admin.","married","university.degree","no","no","yes","cellular","aug","wed",291,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
52,"blue-collar","divorced","basic.9y","no","no","no","cellular","jul","wed",630,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
39,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","tue",741,4,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"yes"
43,"admin.","married","high.school","no","no","yes","cellular","dec","mon",415,2,8,2,"failure",-3,92.713,-33,0.717,5023.5,"yes"
58,"blue-collar","married","basic.6y","","no","no","telephone","jun","mon",80,1,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
56,"blue-collar","divorced","basic.4y","no","yes","no","telephone","aug","mon",361,1,12,4,"failure",-1.7,94.027,-38.3,0.904,4991.6,"no"
31,"blue-collar","divorced","basic.6y","no","no","no","telephone","may","tue",255,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
46,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","mon",243,2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
32,"self-employed","married","professional.course","no","no","yes","telephone","jun","tue",705,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
33,"admin.","married","high.school","no","yes","no","telephone","may","wed",67,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
42,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",168,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
30,"admin.","divorced","university.degree","no","yes","yes","cellular","aug","fri",201,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
36,"admin.","married","university.degree","no","yes","no","telephone","jun","tue",120,11,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
42,"management","married","basic.6y","no","yes","no","cellular","sep","thu",84,3,999,0,"nonexistent",-3.4,92.379,-29.8,0.778,5017.5,"yes"
31,"blue-collar","single","basic.9y","no","yes","no","cellular","may","thu",471,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
38,"blue-collar","married","professional.course","no","yes","no","telephone","may","tue",321,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
46,"technician","married","high.school","no","yes","no","cellular","may","tue",368,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no"
32,"unemployed","married","high.school","","yes","no","cellular","jul","mon",38,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
50,"blue-collar","married","","","no","no","cellular","jul","thu",1183,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
28,"services","married","high.school","no","","","cellular","jul","thu",81,4,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
56,"management","divorced","university.degree","no","yes","no","telephone","may","thu",118,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
32,"self-employed","married","university.degree","no","yes","no","cellular","nov","fri",54,1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
57,"admin.","single","university.degree","","yes","yes","cellular","aug","wed",73,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
44,"admin.","single","professional.course","no","yes","no","telephone","nov","thu",25,8,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
58,"admin.","married","high.school","no","no","no","cellular","aug","fri",528,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
50,"management","married","professional.course","no","yes","no","cellular","nov","fri",381,1,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,"no"
60,"retired","married","high.school","no","no","no","cellular","sep","wed",200,1,6,1,"success",-1.1,94.199,-37.5,0.876,4963.6,"yes"
34,"self-employed","single","university.degree","no","yes","no","cellular","jul","wed",378,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
44,"admin.","married","basic.9y","","no","no","cellular","may","wed",217,3,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
30,"admin.","divorced","basic.6y","no","no","no","cellular","jul","wed",144,10,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
33,"admin.","married","university.degree","no","no","no","cellular","jul","wed",50,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
32,"management","single","university.degree","no","no","no","cellular","jun","mon",257,2,3,1,"success",-2.9,92.963,-40.8,1.281,5076.2,"yes"
55,"housemaid","married","basic.4y","","yes","no","telephone","jul","tue",481,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
38,"admin.","single","university.degree","no","yes","no","telephone","sep","tue",490,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.819,5017.5,"no"
40,"entrepreneur","married","university.degree","","yes","no","telephone","may","tue",291,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
54,"management","married","university.degree","","no","yes","cellular","apr","mon",1817,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
33,"technician","married","university.degree","no","no","no","cellular","may","thu",191,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
46,"admin.","married","high.school","no","no","no","cellular","nov","mon",141,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
42,"blue-collar","divorced","basic.4y","","no","no","cellular","nov","thu",14,6,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
33,"admin.","single","professional.course","no","yes","no","telephone","nov","fri",240,2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
31,"unemployed","single","university.degree","no","yes","no","cellular","nov","fri",30,1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
44,"admin.","single","basic.6y","","yes","no","cellular","jul","thu",130,2,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
30,"services","single","high.school","no","no","no","telephone","may","tue",65,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
45,"technician","married","university.degree","no","no","no","telephone","may","tue",152,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
54,"services","divorced","high.school","no","yes","no","cellular","oct","wed",487,3,999,2,"failure",-1.1,94.601,-49.5,1.016,4963.6,"yes"
51,"unemployed","married","high.school","no","yes","yes","cellular","sep","fri",240,3,999,0,"nonexistent",-1.1,94.199,-37.5,0.883,4963.6,"no"
38,"admin.","married","high.school","no","","","cellular","may","fri",295,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
29,"blue-collar","married","basic.4y","no","yes","no","cellular","nov","mon",127,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
39,"admin.","single","university.degree","no","no","no","cellular","aug","thu",421,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
60,"management","married","professional.course","","yes","no","cellular","jul","thu",241,4,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
36,"technician","married","professional.course","no","no","no","cellular","jul","mon",314,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
30,"admin.","single","professional.course","no","no","no","telephone","aug","mon",10,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.891,4991.6,"no"
46,"blue-collar","married","basic.6y","no","no","yes","cellular","nov","tue",97,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
25,"admin.","married","high.school","","no","no","telephone","jun","thu",18,18,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
51,"housemaid","divorced","high.school","no","yes","yes","cellular","jul","thu",137,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
48,"self-employed","married","university.degree","","yes","no","telephone","may","thu",750,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
36,"admin.","married","high.school","no","yes","no","telephone","may","mon",133,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no"
37,"services","married","high.school","","no","yes","telephone","may","thu",284,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
32,"blue-collar","married","basic.6y","no","no","no","telephone","jun","wed",125,1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
35,"blue-collar","married","","no","no","no","telephone","jun","thu",71,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
45,"blue-collar","married","basic.6y","","no","no","telephone","jun","thu",333,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
45,"blue-collar","married","","no","no","no","cellular","apr","thu",829,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no"
45,"management","single","basic.9y","no","yes","no","telephone","jun","thu",69,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
28,"self-employed","married","university.degree","no","yes","no","cellular","jul","wed",695,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
32,"technician","single","university.degree","no","yes","no","cellular","aug","wed",158,5,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
31,"entrepreneur","single","high.school","no","no","no","cellular","nov","thu",290,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
47,"housemaid","married","basic.4y","no","no","no","cellular","apr","tue",645,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
49,"technician","married","professional.course","no","no","yes","telephone","jun","thu",138,1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
45,"blue-collar","married","basic.4y","","no","no","telephone","may","fri",108,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
32,"admin.","single","university.degree","no","no","no","cellular","aug","wed",226,5,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
28,"technician","single","university.degree","no","no","no","cellular","may","thu",68,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,"no"
48,"blue-collar","married","professional.course","no","yes","no","cellular","jul","thu",49,16,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
40,"self-employed","single","university.degree","no","yes","no","cellular","apr","mon",379,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
31,"blue-collar","single","basic.9y","","yes","no","telephone","may","wed",165,2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
30,"technician","single","university.degree","","no","no","telephone","may","wed",187,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
