,Entity,Code,Year,Researchers.in.R.D..per.million.people.,Individuals.using.the.Internet....of.population.,Historical.and.more.recent.expenditure.estimates,Combined...average.years.of.education.for.15.64.years.male.and.female.youth.and.adults,Outbound.mobility.ratio..all.regions..both.sexes....
26,Italy,ITA,2013,1930.6868,58.4593,4.14367,10.71,2.68551
27,Italy,ITA,2014,1956.3606,55.638462,4.06128,10.71,2.95846
28,Italy,ITA,2015,2077.8826,58.141735,4.07363,11.11,3.33548
29,Italy,ITA,2016,2204.0762,61.324253,3.81579,11.11,3.70006
30,Italy,ITA,2017,2313.6548,63.077347,4.04494,11.11,4.06963
31,Italy,ITA,2018,2512.1855,74.387184,4.25614,11.11,4.00602
32,Italy,ITA,2019,2656.0496,67.85071,4.09527,11.11,4.00602
33,Italy,ITA,2020,2671.8347,70.48343,4.44195,11.51,4.00602
34,Japan,JPN,2010,5103.6255,78.21,3.59952,12.44,1.04933
35,Japan,JPN,2011,5110.1655,79.054115,3.60528,12.44,0.92462
36,Japan,JPN,2012,5032.931,79.4964,3.64742,12.44,0.86237
37,Japan,JPN,2013,5147.435,88.21943,3.62497,12.44,0.86537
38,Japan,JPN,2014,5328.4097,89.106834,3.55159,12.44,0.87721
39,Japan,JPN,2015,5173.031,91.05803,3.2290254,12.6,0.79465
40,Japan,JPN,2016,5209.369,93.182724,3.14643,12.6,0.82272
41,Japan,JPN,2017,5304.1377,91.72655,3.13058,12.6,0.82433
42,Japan,JPN,2018,5331.1504,88.74635,3.07782,12.6,0.82611
43,Japan,JPN,2019,5374.581,92.7304,3.15534,12.6,0.82611
44,Japan,JPN,2020,5454.683,90.21946,3.416981,12.83,0.82611
45,Malta,MLT,2010,1417.0084,63,6.25005,11.06,11.14391
46,Malta,MLT,2011,1785.9109,68.01982,7.69613,11.06,10.71247
47,Malta,MLT,2012,1986.6812,68.199875,6.34543,11.06,11.15573
48,Malta,MLT,2013,1886.6552,68.9138,7.57928,11.06,15.12824
49,Malta,MLT,2014,1831.719,73.17,7.00421,11.06,9.7687
50,Malta,MLT,2015,1891.3228,75.96002,5.02398,11.53,8.88885
51,Malta,MLT,2016,2054.5889,78.07515,5.10767,11.53,7.68367
52,Malta,MLT,2017,2130.463,81.01191,4.55918,11.53,7.39616
53,Malta,MLT,2018,2062.6162,81.65804,4.957463,11.53,7.49532
54,Malta,MLT,2019,2132.288,85.778564,4.93739,11.53,7.49532
55,Malta,MLT,2020,2296.4922,86.858765,5.765722,12.09,7.49532
56,Norway,NOR,2010,5413.766,93.39,6.71042,11.65,6.16989
57,Norway,NOR,2011,5502.4624,93.48998,6.41491,11.65,6.78147
58,Norway,NOR,2012,5552.9746,94.64998,7.32766,11.65,6.97289
59,Norway,NOR,2013,5573.826,95.0534,7.43906,11.65,7.10586
60,Norway,NOR,2014,5685.627,96.3,7.64403,11.65,6.93349
61,Norway,NOR,2015,5890.955,96.810326,7.52335,12.11,6.99749
62,Norway,NOR,2016,6077.568,97.2982,7.98445,12.11,6.80056
63,Norway,NOR,2017,6350.0625,96.357605,7.84598,12.11,6.24216
64,Norway,NOR,2018,6432.605,96.49166,7.59563,12.11,5.96213
65,Norway,NOR,2019,6673.9087,98.00001,7.86456,12.11,5.96213
66,Norway,NOR,2020,6698.835,97,8.37282,12.08,5.96213
67,Poland,POL,2010,1683.0542,62.32,5.10706,11.62,1.29176
68,Poland,POL,2011,1675.0616,61.95,4.86102,11.62,1.28601
69,Poland,POL,2012,1752.7068,62.309998,4.8616,11.62,1.29758
70,Poland,POL,2013,1873.0599,62.8492,5.02124,11.62,1.22387
71,Poland,POL,2014,2064.0496,66.6,4.96657,11.62,1.35144
72,Poland,POL,2015,2171.5789,67.99699,4.81701,11.84,1.43315
73,Poland,POL,2016,2320.79,73.300705,4.65911,11.84,1.51466
74,Poland,POL,2017,3019.1145,75.98537,4.57465,11.84,1.62328
75,Poland,POL,2018,3106.1064,77.54173,4.60506,11.84,1.76511
76,Poland,POL,2019,3187.8362,80.435905,4.67881,11.84,1.76511
77,Poland,POL,2020,3288.1675,83.18489,4.85265,12.01,1.76511
78,Portugal,PRT,2010,3918.759,53.3,5.41249,8.71,3.32251
79,Portugal,PRT,2011,4168.267,55.249996,5.12333,8.71,3.32425
80,Portugal,PRT,2012,4037.332,60.339996,4.94941,8.71,3.25178
81,Portugal,PRT,2013,3610.5535,62.0956,5.27097,8.71,3.05289
82,Portugal,PRT,2014,3662.3755,64.59,5.124,8.71,3.19525
83,Portugal,PRT,2015,3729.773,68.63286,4.88554,9.14,3.61925
84,Portugal,PRT,2016,4004.5764,70.42357,4.770906,9.14,3.75411
85,Portugal,PRT,2017,4367.733,73.791214,5.01561,9.14,4.06616
86,Portugal,PRT,2018,4646.135,74.660965,4.67516,9.14,4.22952
87,Portugal,PRT,2019,4905.6855,75.346375,4.63002,9.14,4.31
88,Portugal,PRT,2020,5214.8467,78.26166,4.87656,9.56,4.4
